GENE	NAME	CLASS	WEIGHT
B2M	B2M	MHC	1
TAP1	TAP1	MHC	1
TAP2	TAP2	MHC	1
HLA-A	HLA-A	MHC	1
HLA-B	HLA-B	MHC	1
HLA-C	HLA-C	MHC	1
HLA-DPA1	HLA-DPA1	MHC	1
HLA-DPB1	HLA-DPB1	MHC	1
HLA-E	HLA-E	MHC	1
HLA-F	HLA-F	MHC	1
PDCD1	PD-1	CP	-1
CTLA4	CTLA-4	CP	-1
LAG3	LAG3	CP	-1
TIGIT	TIGIT	CP	-1
HAVCR2	TIM3	CP	-1
CD274	PD-L1	CP	-1
PDCD1LG2	PD-L2	CP	-1
CD27	CD27	CP	1
ICOS	ICOS	CP	1
IDO1	IDO1	CP	-1
AIM2	Act CD4	EC	1
BIRC3	Act CD4	EC	1
BRIP1	Act CD4	EC	1
CCL20	Act CD4	EC	1
CCL4	Act CD4	EC	1
CCL5	Act CD4	EC	1
CCNB1	Act CD4	EC	1
CCR7	Act CD4	EC	1
DUSP2	Act CD4	EC	1
ESCO2	Act CD4	EC	1
ETS1	Act CD4	EC	1
EXO1	Act CD4	EC	1
EXOC6	Act CD4	EC	1
IARS	Act CD4	EC	1
KIF11	Act CD4	EC	1
KNTC1	Act CD4	EC	1
NUF2	Act CD4	EC	1
PRC1	Act CD4	EC	1
PSAT1	Act CD4	EC	1
RGS1	Act CD4	EC	1
RTKN2	Act CD4	EC	1
SAMSN1	Act CD4	EC	1
SELL	Act CD4	EC	1
TRAT1	Act CD4	EC	1
ADRM1	Act CD8	EC	1
AHSA1	Act CD8	EC	1
C1GALT1C1	Act CD8	EC	1
CCT6B	Act CD8	EC	1
CD37	Act CD8	EC	1
CD3D	Act CD8	EC	1
CD3E	Act CD8	EC	1
CD3G	Act CD8	EC	1
CD69	Act CD8	EC	1
CD8A	Act CD8	EC	1
CETN3	Act CD8	EC	1
CSE1L	Act CD8	EC	1
GEMIN6	Act CD8	EC	1
GNLY	Act CD8	EC	1
GPT2	Act CD8	EC	1
GZMA	Act CD8	EC	1
GZMH	Act CD8	EC	1
GZMK	Act CD8	EC	1
IL2RB	Act CD8	EC	1
LCK	Act CD8	EC	1
MPZL1	Act CD8	EC	1
NKG7	Act CD8	EC	1
PIK3IP1	Act CD8	EC	1
PTRH2	Act CD8	EC	1
TIMM13	Act CD8	EC	1
ZAP70	Act CD8	EC	1
ATM	Tem CD4	EC	1
CASP3	Tem CD4	EC	1
CASQ1	Tem CD4	EC	1
CD300E	Tem CD4	EC	1
DARS	Tem CD4	EC	1
DOCK9	Tem CD4	EC	1
EXOSC9	Tem CD4	EC	1
EZH2	Tem CD4	EC	1
GDE1	Tem CD4	EC	1
IL34	Tem CD4	EC	1
NCOA4	Tem CD4	EC	1
NEFL	Tem CD4	EC	1
PDGFRL	Tem CD4	EC	1
PTGS1	Tem CD4	EC	1
REPS1	Tem CD4	EC	1
SCG2	Tem CD4	EC	1
SDPR	Tem CD4	EC	1
SIGLEC14	Tem CD4	EC	1
SIGLEC6	Tem CD4	EC	1
TAL1	Tem CD4	EC	1
TFEC	Tem CD4	EC	1
TIPIN	Tem CD4	EC	1
TPK1	Tem CD4	EC	1
UQCRB	Tem CD4	EC	1
USP9Y	Tem CD4	EC	1
WIPF1	Tem CD4	EC	1
ZCRB1	Tem CD4	EC	1
ACAP1	Tem CD8	EC	1
APOL3	Tem CD8	EC	1
ARHGAP10	Tem CD8	EC	1
ATP10D	Tem CD8	EC	1
C3AR1	Tem CD8	EC	1
CCR5	Tem CD8	EC	1
CD160	Tem CD8	EC	1
CD55	Tem CD8	EC	1
CFLAR	Tem CD8	EC	1
CMKLR1	Tem CD8	EC	1
DAPP1	Tem CD8	EC	1
FCRL6	Tem CD8	EC	1
FLT3LG	Tem CD8	EC	1
GZMM	Tem CD8	EC	1
HAPLN3	Tem CD8	EC	1
HLA-DMB	Tem CD8	EC	1
HLA-DPA1	Tem CD8	EC	1
HLA-DPB1	Tem CD8	EC	1
IFI16	Tem CD8	EC	1
LIME1	Tem CD8	EC	1
LTK	Tem CD8	EC	1
NFKBIA	Tem CD8	EC	1
SETD7	Tem CD8	EC	1
SIK1	Tem CD8	EC	1
TRIB2	Tem CD8	EC	1
CCR2	MDSC	SC	-1
CD14	MDSC	SC	-1
CD2	MDSC	SC	-1
CD86	MDSC	SC	-1
CXCR4	MDSC	SC	-1
FCGR2A	MDSC	SC	-1
FCGR2B	MDSC	SC	-1
FCGR3A	MDSC	SC	-1
FERMT3	MDSC	SC	-1
GPSM3	MDSC	SC	-1
IL18BP	MDSC	SC	-1
IL4R	MDSC	SC	-1
ITGAL	MDSC	SC	-1
ITGAM	MDSC	SC	-1
PARVG	MDSC	SC	-1
PSAP	MDSC	SC	-1
PTGER2	MDSC	SC	-1
PTGES2	MDSC	SC	-1
S100A8	MDSC	SC	-1
S100A9	MDSC	SC	-1
CCL3L1	Treg	SC	-1
CD72	Treg	SC	-1
CLEC5A	Treg	SC	-1
FOXP3	Treg	SC	-1
ITGA4	Treg	SC	-1
L1CAM	Treg	SC	-1
LIPA	Treg	SC	-1
LRP1	Treg	SC	-1
LRRC42	Treg	SC	-1
MARCO	Treg	SC	-1
MMP12	Treg	SC	-1
MNDA	Treg	SC	-1
MRC1	Treg	SC	-1
MS4A6A	Treg	SC	-1
PELO	Treg	SC	-1
PLEK	Treg	SC	-1
PRSS23	Treg	SC	-1
PTGIR	Treg	SC	-1
ST8SIA4	Treg	SC	-1
STAB1	Treg	SC	-1
